Location,White,Black,Hispanic,Other,Total
Alabama,0.671440324,0.263301924,0.04778772,0.017470032,1
Alaska,0.63645863,0.031459771,0.084634314,0.247447285,1
Arizona,0.479240639,0.043431712,0.375858406,0.101469243,1
Arkansas,0.720558986,0.155767805,0.08135224,0.042320969,1
California,0.390776742,0.054523024,0.389168516,0.165531718,1
Colorado,0.712593495,0.035447692,0.205101855,0.046856958,1
Connecticut,0.699161175,0.108020602,0.113158094,0.079660129,1
Delaware,0.645525726,0.190125235,0.106580553,0.057768487,1
District of Columbia,0.372028779,0.473633611,0.089293663,0.065043947,1
Florida,0.578225564,0.15675041,0.221994089,0.043029937,1
Georgia,0.56256868,0.302327699,0.076938618,0.058165002,1
Hawaii,0.172560273,0.016727375,0.117937526,0.692774825,1
Idaho,0.842980105,0.007644523,0.113740136,0.035635235,1
Illinois,0.650334639,0.136976096,0.15359831,0.059090955,1
Indiana,0.822058606,0.095298593,0.05967352,0.022969281,1
Iowa,0.850497488,0.029900495,0.062654712,0.056947305,1
Kansas,0.772315367,0.056916524,0.084301163,0.086466947,1
Kentucky,0.850052906,0.077142266,0.038130126,0.034674702,1
Louisiana,0.599904722,0.316467364,0.053352703,0.030275211,1
Maine,0.9532902,0.013591898,0.010449486,0.022668415,1
Maryland,0.497349051,0.286212717,0.096614294,0.119823938,1
Massachusetts,0.749360445,0.064743132,0.107054641,0.078841782,1
Michigan,0.748677992,0.135198582,0.040189587,0.075933839,1
Minnesota,0.833898554,0.053782701,0.049565195,0.06275355,1
Mississippi,0.572140223,0.369592824,0.025207318,N/A,1
Missouri,0.814536933,0.116125374,0.030328037,0.039009656,1
Montana,0.89088105,0.006174928,0.021327985,N/A,1
Nebraska,0.800419819,0.035724679,0.119981896,N/A,1
Nevada,0.523771234,0.081290639,0.288117744,0.106820383,1
New Hampshire,0.929049254,0.011510412,0.02436592,0.035074414,1
New Jersey,0.592233122,0.118809875,0.193414029,0.095542973,1
New Mexico,0.395685328,0.019415716,0.444978478,0.139920479,1
New York,0.582944363,0.130611525,0.172291551,0.114152561,1
North Carolina,0.603963421,0.214117672,0.093662236,0.088256671,1
North Dakota,0.830810045,0.015417077,0.040953698,N/A,1
Ohio,0.802668297,0.121284915,0.038153989,0.037892799,1
Oklahoma,0.648367969,0.075664762,0.099488334,0.176478935,1
Oregon,0.766878775,0.018382408,0.104947208,0.109791609,1
Pennsylvania,0.779752499,0.101432207,0.067673027,0.051142266,1
Rhode Island,0.756572991,0.042370126,0.148552499,0.052504384,1
South Carolina,0.653143348,0.27190723,0.045862215,0.029087207,1
South Dakota,0.876684271,0.019155273,0.023339967,N/A,1
Tennessee,0.747774839,0.156170607,0.063735477,0.032319078,1
Texas,0.411879731,0.115748939,0.408801911,0.063569419,1
Utah,0.827778354,0.01349651,0.107494539,0.051230597,1
Vermont,0.930644838,0.011413421,0.017974984,0.039966756,1
Virginia,0.641532333,0.186286055,0.085867611,0.086314001,1
Washington,0.707981766,0.035833447,0.107694789,0.148489997,1
West Virginia,0.933858202,0.032559382,0.016722178,0.016860238,1
Wisconsin,0.835601332,0.057241353,0.073043018,0.034114296,1
Wyoming,0.864990737,N/A,0.085558175,0.039606245,1
